"Kod";"Nazwa";"przeciętna liczba osób na 1 izbę;2002;[-]";"przeciętna liczba osób na 1 izbę;2003;[-]";"przeciętna liczba osób na 1 izbę;2004;[-]";"przeciętna liczba osób na 1 izbę;2005;[-]";"przeciętna liczba osób na 1 izbę;2006;[-]";"przeciętna liczba osób na 1 izbę;2007;[-]";"przeciętna liczba osób na 1 izbę;2008;[-]";"przeciętna liczba osób na 1 izbę;2009;[-]";"przeciętna liczba osób na 1 izbę;2010;[-]";"przeciętna liczba osób na 1 izbę;2011;[-]";"przeciętna liczba osób na 1 izbę;2012;[-]";"przeciętna liczba osób na 1 izbę;2013;[-]";"przeciętna liczba osób na 1 izbę;2014;[-]";"przeciętna liczba osób na 1 izbę;2015;[-]";"przeciętna liczba osób na 1 izbę;2016;[-]";"przeciętna liczba osób na 1 izbę;2017;[-]";"przeciętna liczba osób na 1 izbę;2018;[-]";"przeciętna liczba osób na 1 izbę;2019;[-]";"przeciętna liczba osób na 1 izbę;2020;[-]";"przeciętna liczba osób na 1 izbę;2021;[-]";"przeciętna liczba osób na 1 izbę;2022;[-]";
0000000;"POLSKA";;0,82;0,82;0,81;0,80;0,79;0,78;0,77;0,75;0,74;0,74;0,73;0,72;0,71;0,70;0,70;0,69;0,68;0,65;0,64;0,63;
0200000;"DOLNOŚLĄSKIE";;0,81;0,80;0,79;0,79;0,78;0,77;0,76;0,71;0,70;0,69;0,68;0,67;0,67;0,66;0,65;0,64;0,63;0,63;0,62;0,61;
0201000;"Powiat bolesławiecki";;0,78;0,77;0,77;0,76;0,76;0,75;0,74;0,74;0,74;0,73;0,72;0,72;0,71;0,70;0,69;0,69;0,68;0,64;0,63;0,62;
0201011;"Bolesławiec (1)";;0,80;0,79;0,78;0,77;0,77;0,76;0,75;0,75;0,74;0,73;0,72;0,71;0,71;0,69;0,68;0,67;0,66;0,64;0,63;0,61;
0201022;"Bolesławiec (2)";;0,73;0,72;0,71;0,72;0,71;0,71;0,71;0,74;0,73;0,73;0,72;0,71;0,71;0,70;0,70;0,70;0,68;0,64;0,64;0,63;
0201032;"Gromadka (2)";;0,77;0,76;0,76;0,75;0,74;0,73;0,72;0,70;0,70;0,70;0,69;0,69;0,68;0,67;0,66;0,66;0,65;0,64;0,63;0,62;
0201043;"Nowogrodziec (3)";;0,80;0,79;0,79;0,79;0,79;0,78;0,78;0,79;0,79;0,78;0,77;0,76;0,76;0,75;0,74;0,74;0,72;0,69;0,68;0,67;
0201044;"Nowogrodziec - miasto (4)";;0,81;0,79;0,79;0,79;0,78;0,77;0,77;0,79;0,80;0,78;0,77;0,76;0,76;0,75;0,74;0,74;0,71;0,67;0,66;0,65;
0201045;"Nowogrodziec - obszar wiejski (5)";;0,79;0,79;0,79;0,79;0,79;0,79;0,78;0,79;0,79;0,79;0,77;0,76;0,76;0,75;0,74;0,74;0,73;0,70;0,69;0,68;
0201052;"Osiecznica (2)";;0,72;0,73;0,71;0,71;0,71;0,70;0,71;0,69;0,68;0,68;0,67;0,66;0,65;0,65;0,64;0,63;0,62;0,62;0,62;0,61;
