"Kod";"Nazwa";"jednorodzinne;2020;[ha]";"jednorodzinne;2021;[ha]";"jednorodzinne;2022;[ha]";"jednorodzinne - uzbrojone;2020;[ha]";"jednorodzinne - uzbrojone;2021;[ha]";"jednorodzinne - uzbrojone;2022;[ha]";
0000000;"POLSKA";21764;21425;21241;8800;8495;8270;
0200000;"DOLNOŚLĄSKIE";2558;2600;2513;876;847;803;
0201000;"Powiat bolesławiecki";104;102;99;64;63;61;
0201011;"Bolesławiec (1)";54;54;53;26;25;25;
0201022;"Bolesławiec (2)";35;33;33;26;26;26;
0201043;"Nowogrodziec (3)";4;4;4;1;1;1;
0201044;"Nowogrodziec - miasto (4)";2;2;2;0;0;0;
0201045;"Nowogrodziec - obszar wiejski (5)";2;2;1;0;0;0;
0201052;"Osiecznica (2)";5;5;4;5;5;4;
0201062;"Warta Bolesławiecka (2)";6;6;6;6;6;6;
0202000;"Powiat dzierżoniowski";89;142;139;26;22;20;
0202011;"Bielawa (1)";17;16;15;4;3;2;
0202021;"Dzierżoniów (1)";60;59;58;15;13;12;
0202033;"Pieszyce (3)";3;2;2;3;2;2;
0202034;"Pieszyce - miasto (4)";1;2;2;1;2;2;
0202035;"Pieszyce - obszar wiejski (5)";2;1;1;2;1;1;
0202041;"Piława Górna (1)";8;8;7;4;3;3;
0202052;"Dzierżoniów (2)";0;56;55;0;0;0;
0202073;"Niemcza (3)";1;1;1;0;0;0;
0202075;"Niemcza - obszar wiejski (5)";1;1;1;0;0;0;
0203000;"Powiat głogowski";20;21;24;3;3;3;
0203011;"Głogów (1)";10;11;11;1;1;1;
0203022;"Głogów (2)";6;6;10;2;2;3;
0203042;"Kotla (2)";2;2;2;0;0;0;
0203062;"Żukowice (2)";2;2;2;0;0;0;
0204000;"Powiat górowski";77;76;78;7;7;7;
0204013;"Góra (3)";56;55;54;1;1;1;
0204014;"Góra - miasto (4)";56;55;54;1;1;1;
0204022;"Jemielno (2)";2;2;2;2;2;2;
0204032;"Niechlów (2)";5;5;7;1;1;1;
0204043;"Wąsosz (3)";15;15;15;3;3;3;
0204044;"Wąsosz - miasto (4)";13;13;13;3;3;3;
0204045;"Wąsosz - obszar wiejski (5)";1;1;1;0;0;0;
0205000;"Powiat jaworski";16;13;12;9;8;5;
0205011;"Jawor (1)";3;3;3;1;1;1;
0205023;"Bolków (3)";8;8;3;6;6;3;
0205024;"Bolków - miasto (4)";8;8;2;5;5;2;
0205032;"Męcinka (2)";1;0;5;1;0;0;
0205052;"Paszowice (2)";1;1;1;0;0;0;
0205062;"Wądroże Wielkie (2)";3;1;1;1;0;0;
0206000;"Powiat karkonoski";188;182;177;76;76;74;
0206011;"Karpacz (1)";4;4;4;4;4;4;
0206021;"Kowary (1)";4;2;2;0;0;0;
0206031;"Piechowice (1)";78;76;75;11;11;11;
0206041;"Szklarska Poręba (1)";27;26;25;27;26;25;
0206052;"Janowice Wielkie (2)";4;4;4;3;3;3;
0206062;"Jeżów Sudecki (2)";29;29;26;1;1;1;
0206072;"Mysłakowice (2)";3;2;2;2;2;2;
0206082;"Podgórzyn (2)";33;33;33;22;22;22;
0206092;"Stara Kamienica (2)";8;8;8;8;8;8;
0207000;"Powiat kamiennogórski";58;55;48;20;19;17;
0207011;"Kamienna Góra (1)";8;7;3;0;0;0;
0207022;"Kamienna Góra (2)";27;27;25;5;5;3;
0207033;"Lubawka (3)";20;19;18;11;11;11;
0207034;"Lubawka - miasto (4)";19;18;17;11;11;11;
0207035;"Lubawka - obszar wiejski (5)";1;0;0;1;0;0;
0207042;"Marciszów (2)";3;3;2;3;3;2;
0208000;"Powiat kłodzki";353;375;363;131;128;124;
0208021;"Kłodzko (1)";0;0;1;0;0;0;
0208031;"Kudowa-Zdrój (1)";73;72;72;0;0;0;
0208041;"Nowa Ruda (1)";41;40;39;41;40;39;
0208051;"Polanica-Zdrój (1)";88;87;87;44;44;44;
0208063;"Bystrzyca Kłodzka (3)";14;13;13;0;0;0;
0208064;"Bystrzyca Kłodzka - miasto (4)";6;6;6;0;0;0;
0208065;"Bystrzyca Kłodzka - obszar wiejski (5)";8;7;7;0;0;0;
0208072;"Kłodzko (2)";12;12;9;9;9;8;
0208083;"Lądek-Zdrój (3)";2;2;1;0;1;0;
0208084;"Lądek-Zdrój - miasto (4)";2;1;1;0;0;0;
0208092;"Lewin Kłodzki (2)";4;4;3;1;0;0;
0208103;"Międzylesie (3)";23;23;23;15;15;14;
0208104;"Międzylesie - miasto (4)";11;11;11;11;11;11;
0208105;"Międzylesie - obszar wiejski (5)";12;12;12;4;4;4;
0208112;"Nowa Ruda (2)";10;10;10;9;9;9;
0208123;"Radków (3)";32;23;19;1;0;0;
0208124;"Radków - miasto (4)";8;3;1;1;0;0;
0208125;"Radków - obszar wiejski (5)";25;20;18;1;0;0;
0208133;"Stronie Śląskie (3)";6;41;40;3;2;1;
0208134;"Stronie Śląskie - miasto (4)";2;2;1;2;2;1;
0208135;"Stronie Śląskie - obszar wiejski (5)";4;39;39;1;0;0;
0208143;"Szczytna (3)";48;47;47;9;9;9;
0208144;"Szczytna - miasto (4)";34;33;33;3;3;3;
0208145;"Szczytna - obszar wiejski (5)";14;14;14;6;6;6;
0209000;"Powiat legnicki";53;45;46;22;21;19;
0209011;"Chojnów (1)";2;1;3;1;1;0;
0209022;"Chojnów (2)";32;31;31;17;17;16;
0209032;"Krotoszyce (2)";1;1;0;1;1;0;
0209042;"Kunice (2)";1;1;1;1;1;1;
0209052;"Legnickie Pole (2)";2;2;1;0;0;0;
0209062;"Miłkowice (2)";8;2;2;2;2;2;
0209073;"Prochowice (3)";7;7;7;0;0;0;
0209074;"Prochowice - miasto (4)";7;7;7;0;0;0;
0209082;"Ruja (2)";1;1;1;0;0;0;
0210000;"Powiat lubański";47;42;41;4;4;4;
0210011;"Lubań (1)";21;20;20;1;1;1;
0210021;"Świeradów-Zdrój (1)";6;3;3;1;1;0;
0210033;"Leśna (3)";4;4;4;0;0;0;
0210035;"Leśna - obszar wiejski (5)";4;4;4;0;0;0;
0210042;"Lubań (2)";12;12;11;0;0;0;
0210053;"Olszyna (3)";1;1;1;1;1;1;
0210062;"Platerówka (2)";2;2;2;2;2;2;
0210072;"Siekierczyn (2)";0;0;1;0;0;0;
0211000;"Powiat lubiński";70;72;70;29;28;27;
0211011;"Lubin (1)";9;12;12;0;0;0;
0211022;"Lubin (2)";6;5;5;5;4;4;
